ref_num,authors,year,country,site_name,geo_area,N_pair,N_pair_state,latitude,longitude,elevation,elev_raster,avg_annual_precip,precip_raster,avg_annual_temp,temp_raster,climate,aridity_index_study,aridity_category,aridity_index,crop type_study,crop_type,multiple_crops,tillage_freq_study,tillage_freq,tillage_type,residue_removal,grazed,cover_crop,inorganic_N_applied,herbicide,OM_applied,inorganic_C_applied,years_since_irrig_t1,years_since_irrig_t2,study_duration,irrig_method,irrig_methodcat,irrig_water_type,irrig_water_pH,irrig_water_bicarbonate,irrig_water_Ca,irrig_water_OC,irrig_water_N,study_scale,soil_upper_limit,soil_lower_limit,soil_sample_thickness,depth_category,depth_cat_2,BD_t1,BD_t2,BD_t1_rf,BD_t2_rf,soil_texture_t1,per_sand_t1,per_clay_t1,soil_texture_t2,per_sand_t2,per_clay_t2,soil_pH_t1,soil_pH_t2,total_C_n_t1,total_C_n_t2,total_C_t1,total_C_t2,total_C_sd_t1,total_C_sd_t2,total_C_st_t1,total_C_st_t2,total_C_st_sd_t1,total_C_st_sd_t2,total_C_st_t1_calc,total_C_st_t2_calc,log_total_C_rr,organic_C_n_t1,organic_C_n_t2,organic_C_t1,organic_C_t2,log_organic_C_rr,per_OC_change,OC_change_rate,organic_C_sd_t1,organic_C_sd_t2,organic_C_t1_cov,organic_C_t2_cov,organic_C_t1_sd_calc,organic_C_t2_sd_calc,organic_C_st_t1,organic_C_st_t2,organic_C_st_sd_t1,organic_C_st_sd_t2,organic_C_st_t1_cov,organic_C_st_t2_cov,organic_C_st_t1_calc,organic_C_st_t2_calc,organic_C_st_sd_t1_calc,organic_C_st_sd_t2_calc,log_organic_C_st_rr,OC_st_change_rate,inorganic_C_n_t1,inorganic_C_n_t2,inorganic_C_t1,inorganic_C_t2,inorganic_C_sd_t1,inorganic_C_sd_t2,inorganic_C_sd_t1_cov,inorganic_C_sd_t2_cov,inorganic_C_sd_t1_calc,inorganic_C_sd_t2_calc,inorganic_C_st_t1,inorganic_C_st_t2,inorganic_C_st_sd_t1,inorganic_C_st_sd_t2,inorganic_C_st_t1_calc,inorganic_C_st_t2_calc,inorganic_C_st_t1_cov,inorganic_C_st_t2_cov,inorganic_C_st_t1_sd_cov,inorganic_C_st_t2_sd_cov,log_inorg_C_rr,total_N_n_t1,total_N_n_t2,total_N_t1,total_N_t2,total_N_sd_t1,total_N_sd_t2,total_N_t1_cov,total_N_t2_cov,total_N_t1_sd_calc,total_N_t2_sd_calc,total_N_st_t1,total_N_st_t2,total_N_st_sd_t1,total_N_st_sd_t2,total_N_st_t1_calc,total_N_st_t2_calc,log_total_N_rr,total_N_st_t1_cov,total_N_st_t2_cov,total_N_st_t1_sd_calc,total_N_st_t2_sd_calc
4,Benjamin et al.,2010,USA,Akron,North America,no,,40° 8' N,103° 9' W,1384,1388,400,396,,9.5,semiarid,0.2262,Semi-Arid,4.4091,cereals,cereals,yes,0,never,NT,no,no,no,,,,,4,10,6,sprinklers,sprinkler,fresh,,,,,,Plot,15,30,15,20-30cm,20-30cm,1.46,1.28,1.402823851,1.3160775,SiCL,,,SiCL,,,,,,,,,,,,,,,,,,3,3,18.7,16.8,-0.046532325,-10.16042781,-0.316666667,,,,,2.442695264,2.119004525,,,,,,,39.34920902,33.165153,3.700588938,1.851861335,-0.074254002,-1.030676003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,
5,Deshmukh et al.,2015,India,Keshopur,Asia,no,,28° 42' N,77° 5' E,,216,,660,,25.1,,0.3344,Semi-Arid,3.0258,,,,,,,,,,,,,,5,20,15,,,sewage,,,,,,Farm,0,15,15,0-10cm,0-10cm,,,1.357620977,1.317817333,,,,,,,7.7,7.6,,,,,,,,,,,,,,1,1,0.4,0.85,0.327358934,112.5,0.03,,,,,0.052250166,0.107211538,,,,,,,0.814572586,1.6802171,0.076606325,0.093819229,0.31443561,0.057709634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,
5,Deshmukh et al.,2015,India,Keshopur,Asia,no,,28° 42' N,77° 5' E,,216,,660,,25.1,,0.3344,Semi-Arid,3.0258,,,,,,,,,,,,,,5,20,15,,,sewage,,,,,,Farm,15,30,15,20-30cm,20-30cm,,,1.344133621,1.3082145,,,,,,,8.1,7.9,,,,,,,,,,,,,,1,1,0.24,0.3,0.096910013,25,0.004,,,,,0.0313501,0.037839367,,,,,,,0.483888104,0.588696525,0.045507165,0.03287138,0.085146527,0.006987228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,
5,Deshmukh et al.,2015,India,Keshopur,Asia,no,,28° 42' N,77° 5' E,,216,,660,,25.1,,0.3344,Semi-Arid,3.0258,,,,,,,,,,,,,,5,20,15,,,sewage,,,,,,Farm,30,60,30,40-50cm,30+cm,,,1.341684195,1.318909889,,,,,,,7.8,7.9,,,,,,,,,,,,,,1,1,0.153333333,0.163333333,0.027438248,6.521739145,0.000666667,,,,,0.02002923,0.020601433,,,,,,,0.991116304,1.03959085,0.093209346,0.05804822,0.020737828,0.003231636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,
6,Eleftheriadis & Turrion,2014,Greece,Filyria,Europe,no,,40° 54' N,22° 29' E,170,148,506,440,15,14.2,mediterranean,0.3255,Semi-Arid,3.0636,mixed,woody crops,yes,2,multiple,CT,no,no,no,yes,,no,no,25,72,47,sprinklers,sprinkler,fresh,,,,,,Farm,0,15,15,0-10cm,0-10cm,,,1.353610632,1.363344167,CL,30,34,CL,30,34,7.9,7.9,,,,,,,,,,,,,,12,12,11.9,7.3,-0.212224101,-38.65546218,-0.09787234,0.8,0.6,0.067226891,0.082191781,1.554442441,0.920757919,,,,,,,24.16194978,14.92861863,2.272306008,0.83357769,-0.209112354,-0.196453854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,
7a,Faria et al.,2004,Brazil,Petrolina-1,South America,no,,9° 23' S,40° 30' W,,382,,515,,25.7,,0.2655,Semi-Arid,3.7204,woody perennials,woody crops,no,,,na,,no,no,yes,,,yes,6,9,3,microsprinkler,sprinkler,fresh,,,,,,Plot,0,10,10,0-10cm,0-10cm,,,1.464880172,1.470118833,LS,80,10,LS,80,10,6.5,6.5,,,,,,,,,,,,,,5,5,7.1,8.8,0.093224323,23.94366197,0.566666667,,,,,0.989027237,1.184615385,,,,,,,10.40064922,12.93704573,0.978127094,0.722373112,0.094774664,0.845465503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,
7b,Faria et al.,2004,Brazil,Petrolina-1,South America,no,,9° 23' S,40° 30' W,,382,,515,,25.7,,0.2655,Semi-Arid,3.7204,woody perennials,woody crops,no,,,na,,no,no,yes,,,yes,6,9,3,microsprinkler,sprinkler,fresh,,,,,,Plot,10,20,10,10-20cm,10-20cm,,,1.473893103,1.481357833,LS,80,10,LS,80,10,6.5,6.5,,,,,,,,,,,,,,5,5,6.8,7.1,0.018749436,4.411764706,0.1,,,,,0.947237354,0.955769231,,,,,,,10.0224731,10.51764061,0.942561592,0.587279425,0.020943428,0.165055837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,
8a,Follett et al.,2005,Mexico,Bajio Research Station,North America,no,,20° 30' N,100° 49' W,,1753,380,647,,18.7,,0.338,Semi-Arid,2.9706,cereals,cereals,yes,0,never,NT,no,no,no,yes,yes,no,no,1,6,5,flood,floodfurr,fresh,,,,,,Plot,0,15,15,0-10cm,0-10cm,0.95,1.11,1.008300862,1.101932,C,,,C,,,,,4,4,16.7,17.3,,,,,,,25.25793659,28.5951354,0.015329632,4,4,16.7,17.3,0.015329632,3.592814371,0.12,,,,,2.326303502,2.328846154,,,,,,,25.25793659,28.5951354,2.375377881,1.596682687,0.053894289,0.667439762,,,,,,,,,,,,,,,,,,,,,,4,4,1.3,1.6,,,,,0.208445532,0.382905983,,,,,1.966186681,2.6446368,0.09017663,,,0.245773335,0.377805257
8a,Follett et al.,2005,Mexico,Bajio Research Station,North America,no,,20° 30' N,100° 49' W,,1753,380,647,,18.7,,0.338,Semi-Arid,2.9706,cereals,cereals,yes,0,never,NT,no,no,no,yes,yes,no,no,1,6,5,flood,floodfurr,fresh,,,,,,Plot,15,30,15,20-30cm,20-30cm,1.02,1.13,1.051885057,1.141159833,C,,,C,,,,,4,4,14.1,18.2,,,,,,,22.24736896,31.15366344,0.110852275,4,4,14.1,18.2,0.110852275,29.07801418,0.82,,,,,1.964124514,2.45,,,,,,,22.24736896,31.15366344,2.092249616,1.739544659,0.146230466,1.781258896,,,,,,,,,,,,,,,,,,,,,,4,4,1.2,1.6,,,,,0.192411261,0.382905983,,,,,1.893393103,2.738783599,0.124938737,,,0.236674138,0.3912548
8b,Follett et al.,2005,Mexico,Bajio Research Station,North America,no,,20° 30' N,100° 49' W,,1753,380,647,,18.7,,0.338,Semi-Arid,2.9706,mixed,cereals,yes,0,never,NT,no,no,no,yes,yes,no,no,1,6,5,flood,floodfurr,fresh,,,,,,Plot,0,15,15,0-10cm,0-10cm,0.95,0.96,1.006027299,1.047138667,C,,,C,,,,,4,4,16.2,15,,,,,,,24.44646337,23.56062001,-0.033423755,4,4,16.2,15,-0.033423755,-7.407407407,-0.24,,,,,2.256653696,2.019230769,,,,,,,24.44646337,23.56062001,2.299063035,1.315567615,-0.016029324,-0.177168672,,,,,,,,,,,,,,,,,,,,,,4,4,1.4,1.4,,,,,0.224479804,0.335042735,,,,,2.112657328,2.198991201,0,,,0.264082166,0.3141416
