ref_num,authors,year,country,site_name,geo_area,N_pair,N_pair_state,latitude,longitude,elevation,elev_raster,avg_annual_precip,precip_raster,avg_annual_temp,temp_raster,climate,aridity_index_study,aridity_category,aridity_index,crop type_study,crop_type,multiple_crops,tillage_freq_study,tillage_freq,tillage_type,residue_removal,grazed,cover_crop,inorganic_N_applied,herbicide,OM_applied,inorganic_C_applied,years_since_irrig_t1,years_since_irrig_t2,study_duration,irrig_method,irrig_methodcat,irrig_water_type,irrig_water_pH,irrig_water_bicarbonate,irrig_water_Ca,irrig_water_OC,irrig_water_N,study_scale,soil_upper_limit,soil_lower_limit,soil_sample_thickness,depth_category,depth_cat_2,BD_t1,BD_t2,BD_t1_rf,BD_t2_rf,soil_texture_t1,per_sand_t1,per_clay_t1,soil_texture_t2,per_sand_t2,per_clay_t2,soil_pH_t1,soil_pH_t2,total_C_n_t1,total_C_n_t2,total_C_t1,total_C_t2,total_C_sd_t1,total_C_sd_t2,total_C_st_t1,total_C_st_t2,total_C_st_sd_t1,total_C_st_sd_t2,total_C_st_t1_calc,total_C_st_t2_calc,log_total_C_rr,organic_C_n_t1,organic_C_n_t2,organic_C_t1,organic_C_t2,log_organic_C_rr,per_OC_change,OC_change_rate,organic_C_sd_t1,organic_C_sd_t2,organic_C_t1_cov,organic_C_t2_cov,organic_C_t1_sd_calc,organic_C_t2_sd_calc,organic_C_st_t1,organic_C_st_t2,organic_C_st_sd_t1,organic_C_st_sd_t2,organic_C_st_t1_cov,organic_C_st_t2_cov,organic_C_st_t1_calc,organic_C_st_t2_calc,organic_C_st_sd_t1_calc,organic_C_st_sd_t2_calc,log_organic_C_st_rr,OC_st_change_rate,inorganic_C_n_t1,inorganic_C_n_t2,inorganic_C_t1,inorganic_C_t2,inorganic_C_sd_t1,inorganic_C_sd_t2,inorganic_C_sd_t1_cov,inorganic_C_sd_t2_cov,inorganic_C_sd_t1_calc,inorganic_C_sd_t2_calc,inorganic_C_st_t1,inorganic_C_st_t2,inorganic_C_st_sd_t1,inorganic_C_st_sd_t2,inorganic_C_st_t1_calc,inorganic_C_st_t2_calc,inorganic_C_st_t1_cov,inorganic_C_st_t2_cov,inorganic_C_st_t1_sd_cov,inorganic_C_st_t2_sd_cov,log_inorg_C_rr,total_N_n_t1,total_N_n_t2,total_N_t1,total_N_t2,total_N_sd_t1,total_N_sd_t2,total_N_t1_cov,total_N_t2_cov,total_N_t1_sd_calc,total_N_t2_sd_calc,total_N_st_t1,total_N_st_t2,total_N_st_sd_t1,total_N_st_sd_t2,total_N_st_t1_calc,total_N_st_t2_calc,log_total_N_rr,total_N_st_t1_cov,total_N_st_t2_cov,total_N_st_t1_sd_calc,total_N_st_t2_sd_calc
8b,Follett et al.,2005,Mexico,Bajio Research Station,North America,no,,20° 30' N,100° 49' W,,1753,380,647,,18.7,,0.338,Semi-Arid,2.9706,mixed,cereals,yes,0,never,NT,no,no,no,yes,yes,no,no,1,6,5,flood,floodfurr,fresh,,,,,,Plot,15,30,15,20-30cm,20-30cm,1.02,1.07,1.021326149,1.099496833,C,,,C,,,,,4,4,13.9,14.9,,,,,,,21.29465021,24.57375422,0.030171468,4,4,13.9,14.9,0.030171468,7.194244604,0.2,,,,,1.936264591,2.005769231,,,,,,,21.29465021,24.57375422,2.002651361,1.37213856,0.062201,0.655820802,,,,,,,,,,,,,,,,,,,,,,4,4,1.3,1.4,,,,,0.208445532,0.335042735,,,,,1.991585991,2.308943349,0.032184683,,,0.248948249,0.32984905
9a,Halvorson and Jantalla,2011,USA,Fort Collins-1,North America,no,,40° 39' N,105° 0' W,1555,1550,400,382,9.5,9.1,semiarid,0.2278,Semi-Arid,4.4005,cereals,cereals,no,0,never,NT,no,no,no,yes,yes,no,no,1,11,10,sprinklers,sprinkler,fresh,,,,,,Plot,0,8,7.6,0-10cm,0-10cm,1.39,,1.441601,1.368049,CL,41,34,CL,41,34,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,12.06,15.79,,,,,12.06,15.79,1.13418,0.881675,0.117035,0.373,,,,,,,,,,,,,,,,,,,,,,3,3,1.31,1.88,,,,,0.210049,0.449915,,,,,1.510797,2.057545,0.156886554,,,0.18885,0.293935
9a,Halvorson and Jantalla,2011,USA,Fort Collins-1,North America,no,,40° 39' N,105° 0' W,1555,1550,400,382,9.5,9.1,semiarid,0.2278,Semi-Arid,4.4005,cereals,cereals,no,0,never,NT,no,no,no,yes,yes,no,no,1,11,10,sprinklers,sprinkler,fresh,,,,,,Plot,8,15,7.6,10-20cm,10-20cm,1.39,,1.427124,1.359562,CL,41,34,CL,41,34,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,12.25,12.39,,,,,12.25,12.39,1.152049,0.691827,0.004935,0.014,,,,,,,,,,,,,,,,,,,,,,3,3,1.37,1.68,,,,,0.21967,0.402051,,,,,1.368612,1.598844,0.088588715,,,0.171077,0.228406
9a,Halvorson and Jantalla,2011,USA,Fort Collins-1,North America,no,,40° 39' N,105° 0' W,1555,1550,400,382,9.5,9.1,semiarid,0.2278,Semi-Arid,4.4005,cereals,cereals,no,0,never,NT,no,no,no,yes,yes,no,no,1,11,10,sprinklers,sprinkler,fresh,,,,,,Plot,15,30,15,20-30cm,20-30cm,1.39,,1.440604,1.389846,CL,41,34,CL,41,34,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,22.47,22.1,,,,,22.47,22.1,2.113187,1.23401,-0.00721,-0.037,,,,,,,,,,,,,,,,,,,,,,3,3,2.58,3.09,,,,,0.413684,0.739487,,,,,5.575138,6.441935,0.078338773,,,0.696892,0.920276
9b,Follett et al.,2013,USA,Fort Collins-1,North America,no,,40° 39' N,105° 0' W,1555,1550,400,382,9.5,9.1,semiarid,0.2278,Semi-Arid,4.4005,cereals,cereals,no,0,never,NT,no,no,no,yes,yes,no,no,3,11,8,sprinklers ,sprinkler,fresh,,,,,,Plot,30,60,30,40-50cm,30+cm,1.55,,1.431629693,1.508464834,CL,41,34,CL,41,34,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,14.83,14.44,,,,,14.83,14.44,1.394684552,0.806294416,-0.011573958,-0.04875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,
10a,Friedel et al.,2000,Mexico,Mezquital-1,North America,no,,20° 30' N,99° 15' W,1900,1707,550,348,17,18.3,semiarid,0.1849,Arid,5.3276,maize,cereals,yes,,,,no,no,,,,yes,,25,80,55,flood,floodfurr,sewage,8.4,,,75.7,17.3,Farm,0,15,15,0-10cm,0-10cm,,,1.364309195,1.341263333,,,34.5,,,26.1,7.9,7.7,,,,,,,,,,,,,,4,4,2.2,2.3,0.019305155,4.545454545,0.001818182,,,,,0.306459144,0.309615385,,,,,,,4.502220344,4.627358499,0.423410463,0.258380424,0.011906401,0.002275239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,
10b,Friedel et al.,2000,Mexico,Mezquital-1,North America,no,,20° 30' N,99° 15' W,1900,1707,550,348,17,18.3,semiarid,0.1849,Arid,5.3276,maize,cereals,yes,,,,no,no,,,,yes,,25,80,55,flood,floodfurr,sewage,8.4,,,75.7,17.3,Farm,0,15,15,0-10cm,0-10cm,,,1.360944828,1.321875333,,,52.6,,,38.8,7.9,7.6,,,,,,,,,,,,,,4,4,1.7,2.7,0.200914843,58.82352941,0.018181818,,,,,0.236809339,0.363461538,,,,,,,3.470409311,5.353595099,0.326373989,0.298931706,0.188264822,0.034239742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Ghimire et al.,2017,USA,Lingle,North America,no,,42° 7' N,104° 23' W,,1282,332,341,8.6,8.9,semiarid,0.2027,Semi-Arid,4.8592,mixed,cereals,yes,1,once,RT,no,no,no,yes,yes,no,no,8,10,2,sprinklers,sprinkler,fresh,,,,,,Plot,0,10,10,0-10cm,0-10cm,,,1.421808908,1.436369833,L,41,18,L,41,18,,,,,,,,,,,,,,,,6,6,,,,,,,,,,,,20.2,23.9,2.1,2.4,0.103960396,0.10041841,20.2,23.9,1.899705189,1.334517766,0.073046532,1.85,,,,,,,,,,,,,,,,,,,,,,6,6,,,,,,,,,1.14,1.37,0.17,0.24,1.14,1.37,,0.149122807,0.175182482,0.1425,0.195714286
12,Halvorson et al.,2003,USA,Dalhart,North America,no,,36° 4' N,102° 30' W,,1215,,442,,12.6,semiarid,0.2113,Semi-Arid,4.7081,cereals,cereals,no,3,multiple,CT,no,no,no,yes,yes,no,no,1,4,3,sprinklers,sprinkler,fresh,,,,,,Farm,0,20,20,0-10cm,0-10cm,,,1.393739656,1.294312583,SL,,,SL,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,9.85,11.87,,,,,9.85,11.87,0.926341392,0.662791879,0.081014488,0.673333333,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1.44,2.09,,,2,2.81,,,,0.25,0.401428572
13,Hao et al.,2001,Canada,Lethbridge-1,North America,no,,49° 42' N,112° 48' W,915,918,,380,,6.3,semiarid,0.2928,Semi-Arid,3.4395,mixed,cereals,yes,annually,once,na,no,no,yes,yes,yes,no,no,1,4,3,sprinklers,sprinkler,fresh,,,,,,Plot,0,15,15,0-10cm,0-10cm,,,1.405215517,1.421333833,CL,,27.5,CL,,27.5,7.69,,,,,,,,,,,,,,,4,4,,,,,,,,,,,,27.8,30.1,,,,,27.8,30.1,2.614445755,1.68071066,0.0345217,0.766666667,,,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,,,2.97,3.43,,,2.97,3.43,,,,0.37125,0.49
13,Hao et al.,2001,Canada,Lethbridge-1,North America,no,,49° 42' N,112° 48' W,915,918,,380,,6.3,semiarid,0.2928,Semi-Arid,3.4395,mixed,cereals,yes,annually,once,na,no,no,yes,yes,yes,no,no,1,4,3,sprinklers,sprinkler,fresh,,,,,,Plot,15,30,15,20-30cm,20-30cm,,,1.414195402,1.434472667,CL,,34.1,CL,,34.1,7.63,,,,,,,,,,,,,,,4,4,,,,,,,,,,,,23.4,26,,,,,23.4,26,2.200648585,1.45177665,0.045757491,0.866666667,,,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,,,2.6,3.04,,,2.6,3.04,,,,0.325,0.434285714
14a,Haring et al.,2017,Ghana,Tamale,Africa,no,,9° 28' N,0° 51' W,,173,1111,1084,27.9,28.1,semiarid,0.5301,Dry sub-humid,1.8838,mixed,horticulture,yes,frequent,multiple,CT,,yes,,no,,yes,no,0,2,2,sprinklers,sprinkler,mixed,,,,,,Plot,0,20,20,0-10cm,0-10cm,,,1.485881034,1.494794667,,,5,,,5,,,,,,,,,,,,,,,,4,4,,,,,,,,,,,,1,0.7,0.2,0.1,0.2,0.142857143,1,0.7,0.094044811,0.039086294,-0.15490196,-0.15,,,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,,,1.1,0.7,0.2,0.1,1.1,0.7,,0.181818182,0.142857143,0.1375,0.1
14b,Haring et al.,2017,Burkina Faso,Ouagadougou,Africa,no,,12° 24' N,1° 29' W,,288,788,720,28.2,28.7,semiarid,0.5301,Dry sub-humid,1.8838,mixed,horticulture,yes,frequent,multiple,CT,,yes,,no,,yes,no,0,2,2,sprinklers,sprinkler,mixed,,,,,,Plot,0,20,20,0-10cm,0-10cm,,,1.483216667,1.492084333,,,8,,,8,,,,,,,,,,,,,,,,4,4,,,,,,,,,,,,1.6,2,0.2,0.3,0.125,0.15,1.6,2,0.150471698,0.111675127,0.096910013,0.2,,,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,,,1.6,2,0.2,0.3,1.6,2,,0.125,0.15,0.2,0.285714286
15a,Hegde et al.,1996,India,Akola-N,Asia,yes,N-,20° 42' N,77° 02' E,307,293,793,716,27.2,27.6,semiarid,0.2991,Semi-Arid,3.3467,cereals,cereals,yes,,,,no,no,yes,no,no,no,no,0,9,9,,,fresh,,,,,,Plot,0,15,15,0-10cm,0-10cm,,,1.390561351,1.3446005,C,35,52,C,35,52,7.4,7.4,,,,,,,,,,,,,,4,4,,,,,,,,,,,,4,3.6,,,,,4,3.6,0.376179245,0.201015229,-0.045757491,-0.044444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15aa,Hegde et al.,1996,India,Akola+N,Asia,yes,N+,20° 42' N,77° 02' E,307,293,793,716,27.2,27.6,semiarid,0.2991,Semi-Arid,3.3467,cereals,cereals,yes,,,,no,no,yes,yes,no,no,no,0,9,9,,,fresh,,,,,,Plot,0,15,15,0-10cm,0-10cm,,,1.39141523,1.337666833,C,35,52,C,35,52,7.4,7.4,,,,,,,,,,,,,,4,4,,,,,,,,,,,,4,5.2,,,,,4,5.2,0.376179245,0.29035533,0.113943352,0.133333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15b,Hegde et al.,1996,India,Parbhani-N,Asia,yes,N-,19° 0' N,76° 0' E,408,512,965,776,27.2,26.4,semiarid,0.2991,Semi-Arid,3.0619,cereals,cereals,yes,,,,no,no,yes,no,no,no,no,0,9,9,,,fresh,,,,,,Plot,0,15,15,0-10cm,0-10cm,,,1.317979598,1.3034915,C,18,57,C,18,57,8,8,,,,,,,,,,,,,,4,4,,,,,,,,,,,,6.6,7.2,,,,,6.6,7.2,0.620695755,0.402030457,0.037788561,0.066666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15bb,Hegde et al.,1996,India,Parbhani+N,Asia,yes,N+,19° 0' N,76° 0' E,408,512,965,776,27.2,26.4,semiarid,0.2991,Semi-Arid,3.0619,cereals,cereals,yes,,,,no,no,yes,yes,no,no,no,0,9,9,,,fresh,,,,,,Plot,0,15,15,0-10cm,0-10cm,,,1.319965517,1.3059875,C,18,57,C,18,57,8,8,,,,,,,,,,,,,,4,4,,,,,,,,,,,,6.6,7.6,,,,,6.6,7.6,0.620695755,0.424365482,0.061269657,0.111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15c,Hegde et al.,1996,India,Rahuri-N,Asia,yes,N-,19° 52' N,74° 18' E,447,536,520,491,27.6,25.8,semiarid,0.2991,Semi-Arid,4.6456,cereals,cereals,yes,,,,no,no,yes,no,no,no,no,0,9,9,,,fresh,,,,,,Plot,0,15,15,0-10cm,0-10cm,,,1.318728448,1.293882833,C,22,51,C,22,51,8.1,8.1,,,,,,,,,,,,,,4,4,,,,,,,,,,,,6.4,3.6,,,,,6.4,3.6,0.601886792,0.201015228,-0.249877473,-0.311111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15cc,Hegde et al.,1996,India,Rahuri+N,Asia,yes,N+,19° 52' N,74° 18' E,447,536,520,491,27.6,25.8,semiarid,0.2991,Semi-Arid,4.6456,cereals,cereals,yes,,,,no,no,yes,yes,no,no,no,0,9,9,,,fresh,,,,,,Plot,0,15,15,0-10cm,0-10cm,,,1.316510632,1.292093333,C,22,51,C,22,51,8.1,8.1,,,,,,,,,,,,,,4,4,,,,,,,,,,,,6.4,4.3,,,,,6.4,4.3,0.601886792,0.240101523,-0.172711518,-0.233333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Hou et al.,2012,China,Yucheng,Asia,no,,36° 50' N,116° 34' E,20,23,567,607,13.4,13.4,semiarid,0.4123,Semi-Arid,2.4283,cereals,cereals,yes,1,once,CT,yes,no,yes,yes,yes,no,no,6,11,5,,,fresh,,,,,,Plot,0,3,2.5,0-10cm,0-10cm,1.23,1.403333333,1.247696,1.392083167,SiL,12,22,SiL,12,22,8.6,8.6,,,,,,,,,,,,,,3,3,6.008333333,8.311666667,0.140934099,38.33564495,0.460666667,,,,,0.836958667,1.118878167,,,,,,,3.089276167,4.750738333,0.2905305,0.26527,0.186904377,0.332292433,,,,,,,,,,,,,,,,,,,,,,3,3,0.611666667,0.92,,,,,0.0980765,0.220170667,,,,,0.316437167,0.5282445,0.177273013,,,0.0395545,0.0754635
16,Hou et al.,2012,China,Yucheng,Asia,no,,36° 50' N,116° 34' E,20,23,567,607,13.4,13.4,semiarid,0.4123,Semi-Arid,2.4283,cereals,cereals,yes,1,once,CT,yes,no,yes,yes,yes,no,no,6,11,5,,,fresh,,,,,,Plot,10,20,10,10-20cm,10-20cm,1.37,1.43,1.362457,1.412029,,,,,,,,,,,,,,,,,,,,,,3,3,5.17,6.23,0.080997504,20.50290135,0.212,,,,,0.720179,0.838654,,,,,,,7.043905,8.796943,0.662443,0.4912,0.096518288,0.3506076,,,,,,,,,,,,,,,,,,,,,,3,3,0.51,0.67,,,,,0.081775,0.160342,,,,,0.694853,0.94606,0.118504627,,,0.086857,0.135151
16,Hou et al.,2012,China,Yucheng,Asia,no,,36° 50' N,116° 34' E,20,23,567,607,13.4,13.4,semiarid,0.4123,Semi-Arid,2.4283,cereals,cereals,yes,1,once,CT,yes,no,yes,yes,yes,no,no,6,11,5,,,fresh,,,,,,Plot,20,40,20,20-30cm,20-30cm,1.44,1.47,1.418457,1.447037,,,,,,,,,,,,,,,,,,,,,,3,3,3.42,4.62,0.130615869,35.0877193,0.24,,,,,0.476405,0.621923,,,,,,,9.702247,13.37062,0.912446,0.746583,0.139279219,0.7336746,,,,,,,,,,,,,,,,,,,,,,3,3,0.42,0.57,,,,,0.067344,0.13641,,,,,1.191504,1.649622,0.132625565,,,0.148938,0.23566
16,Hou et al.,2012,China,Yucheng,Asia,no,,36° 50' N,116° 34' E,20,23,567,607,13.4,13.4,semiarid,0.4123,Semi-Arid,2.4283,cereals,cereals,yes,1,once,CT,yes,no,yes,yes,yes,no,no,6,11,5,,,fresh,,,,,,Plot,40,60,20,40-50cm,30+cm,1.37,1.37,1.368791,1.390035,,,,,,,,,,,,,,,,,,,,,,3,3,2.6,3.59,0.140121101,38.07692308,0.198,,,,,0.362179,0.483269,,,,,,,7.117715,9.980448,0.669384,0.557284,0.146809442,0.5725466,,,,,,,,,,,,,,,,,,,,,,3,3,0.32,0.39,,,,,0.05131,0.093333,,,,,0.876026,1.084227,0.085914629,,,0.109503,0.15489
17,Hulugalle et al.,2013,Australia,Narrabri-1,Oceania,no,,30° 13' S,149° 47' E,,229,593,652,,19.1,semiarid,0.3142,Semi-Arid,3.181,mixed,woody crops,yes,frequent,multiple,CT,no,no,yes,yes,yes,no,no,1,9,8,furrow,floodfurr,fresh,,,,,,Plot,0,10,10,0-10cm,0-10cm,,,1.364659195,1.39614,HC,25,64,HC,25,64,,,,,,,,,,,,,,,,4,4,0.83,1.07,0.110305685,28.91566265,0.03,,,,,0.115618677,0.144038462,,,,,,,1.132667132,1.4938698,0.106521467,0.08341405,0.120210449,0.045150334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Hulugalle et al.,2013,Australia,Narrabri-1,Oceania,no,,30° 13' S,149° 47' E,,229,593,652,,19.1,semiarid,0.3142,Semi-Arid,3.181,mixed,woody crops,yes,frequent,multiple,CT,no,no,yes,yes,yes,no,no,1,9,8,furrow,floodfurr,fresh,,,,,,Plot,10,30,20,10-20cm,10-20cm,,,1.372227299,1.392434167,HC,25,64,HC,25,64,,,,,,,,,,,,,,,,4,4,0.63,0.55,-0.05897786,-12.6984127,-0.01,,,,,0.087758755,0.074038462,,,,,,,1.729006397,1.531677584,0.16260408,0.085525144,-0.052629244,-0.024666102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Hulugalle et al.,2013,Australia,Narrabri-1,Oceania,no,,30° 13' S,149° 47' E,,229,593,652,,19.1,semiarid,0.3142,Semi-Arid,3.181,mixed,woody crops,yes,frequent,multiple,CT,no,no,yes,yes,yes,no,no,1,9,8,furrow,floodfurr,fresh,,,,,,Plot,30,60,30,40-50cm,30+cm,,,1.369374138,1.404732333,HC,25,64,HC,25,64,,,,,,,,,,,,,,,,4,4,0.495,0.425,-0.066216269,-14.14141414,-0.00875,,,,,0.068953308,0.057211539,,,,,,,2.033442039,1.790751575,0.191234673,0.099991205,-0.055196456,-0.030336308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18a,Iqbal et al.,2012,Pakistan,Faisalabad-N,Asia,yes,N-,31° 26' N,73° 06' E,184.4,185,292,362,,24.1,semiarid,0.1884,Arid,5.3039,cereals,cereals,no,annually,once,CT,,,,no,yes,no,no,0,2,2,flood,floodfurr,fresh,,,,,,Plot,0,5,5,0-10cm,0-10cm,1.45,1.45,1.449094684,1.446500833,SCL,53,26,SCL,53,26,7.5,7.5,,,,,,,,,,,,,,3,3,4.55,6.7,0.168063406,47.25274725,1.075,,,,,0.63381323,0.901923077,,,,,,,3.296687478,4.845067791,0.310036352,0.27053678,0.167222079,0.774190157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18b,Iqbal et al.,2012,Pakistan,Faisalabad+N,Asia,yes,N+,31° 26' N,73° 06' E,184.4,185,292,362,,24.1,semiarid,0.1884,Arid,5.3039,cereals,cereals,no,annually,once,CT,,,,yes,yes,no,no,0,2,2,flood,floodfurr,fresh,,,,,,Plot,0,5,5,0-10cm,0-10cm,1.45,1.45,1.448134483,1.438544334,SCL,53,26,SCL,53,26,7.5,7.5,,,,,,,,,,,,,,3,3,6.05,7.65,0.101906061,26.44628099,0.8,,,,,0.842762646,1.029807693,,,,,,,4.380137112,5.496646426,0.411929169,0.306919344,0.098610096,0.558254657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18a,Iqbal et al.,2012,Pakistan,Faisalabad-N,Asia,yes,N-,31° 26' N,73° 06' E,184.4,185,292,362,,24.1,semiarid,0.1884,Arid,5.3039,cereals,cereals,no,annually,once,CT,,,,no,yes,no,no,0,2,2,flood,floodfurr,fresh,,,,,,Plot,10,20,10,10-20cm,10-20cm,1.45,1.45,1.450182471,1.448414333,SCL,53,26,SCL,53,26,7.5,7.5,,,,,,,,,,,,,,3,3,2.9,3.4,0.069080919,17.24137931,0.25,,,,,0.403968872,0.457692308,,,,,,,4.205529166,4.924608732,0.395508197,0.274978153,0.068551082,0.359539783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18b,Iqbal et al.,2012,Pakistan,Faisalabad+N,Asia,yes,N+,31° 26' N,73° 06' E,184.4,185,292,362,,24.1,semiarid,0.1884,Arid,5.3039,cereals,cereals,no,annually,once,CT,,,,yes,yes,no,no,0,2,2,flood,floodfurr,fresh,,,,,,Plot,10,20,10,10-20cm,10-20cm,1.45,1.45,1.447707184,1.448597167,SCL,53,26,SCL,53,26,7.5,7.5,,,,,,,,,,,,,,3,3,3.7,4.3,0.065266732,16.21621622,0.3,,,,,0.51540856,0.578846154,,,,,,,5.356516581,6.228967818,0.503752591,0.347810386,0.065533633,0.436225619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19a,Kiziloglu et al.,2008,Turkey,Erzurum,Middle East,no,,39° 55' N,41° 16' E,1835,1851,,434,,5.5,semiarid,0.3727,Semi-Arid,2.8249,vegetables,horticulture,yes,,,,,no,yes,yes,,no,no,0,0.5,0.5,flood,floodfurr,fresh,,,,,,Plot,0,30,30,10-20cm,10-20cm,,,1.382948563,1.342146,L,,,L,,,7.25,7.49,,,,,,,,,,,,,,3,2,8.4,11,0.117113399,30.95238095,5.2,0.5,0.7,0.05952381,0.063636364,1.170116732,1.480769231,,,,,,,34.85030379,44.290818,3.277490244,2.47309136,0.104107133,18.88102842,3,2,11,9.4,0.9,1.6,0.081818182,0.170212766,6.510204082,3.356892697,,,,,45.63730258,37.8485172,,,,,-0.068264832,3,2,1.1,0.7,0.2,0.1,0.181818182,0.142857143,0.176376989,0.167521368,,,,,4.563730258,2.8185066,-0.196294645,,,0.570466282,0.4026438
19b,Kiziloglu et al.,2008,Turkey,Erzurum,Middle East,no,,39° 55' N,41° 16' E,1835,1851,,434,,5.5,semiarid,0.3727,Semi-Arid,2.8249,vegetables,horticulture,yes,,,,,no,yes,yes,,yes,no,0,0.5,0.5,flood,floodfurr,waste,8.2,7.08,51,,1266,Plot,0,30,30,10-20cm,10-20cm,,,1.371737069,1.343355833,L,,,L,,,7.25,7.02,,,,,,,,,,,,,,3,6,8.4,14.4,0.234083206,71.42857143,12,0.5,0.2,0.05952381,0.013888889,1.184202446,1.951048951,,,,,,,34.56777414,58.03297199,3.250919797,3.240419756,0.225003397,46.9303957,3,6,11,7,0.9,1.2,0.081818182,0.171428571,6.510204082,2.499813711,,,,,45.26732328,28.21047249,,,,,-0.196294645,3,6,1.1,0.85,0.2,0.1,0.181818182,0.117647059,0.176376989,0.203418803,,,,,4.526732328,3.425557374,-0.111973759,,,0.565841541,0.489365339
20,Larney et al.,2016,Canada,Vauxhall,North America,no,,50° 04' N,112° 06' W,,778,303,337,5.7,5.5,,0.2795,Semi-Arid,3.5638,mixed,horticulture,yes,frequent,multiple,CT,no,no,no,yes,yes,no,no,0,12,12,sprinklers,sprinkler,fresh,,,,,,Plot,0,8,7.5,0-10cm,0-10cm,,,1.413398,1.321451,SL,,,SL,,,7.37,7.51,,,,,,,,,,,,,,2,2,,,,,,,,,,,,10.6,8.8,1,0,0.09434,0,10.6,8.8,0.996875,0.491371,-0.080823193,-0.15,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,1.1,1,0.1,0.01,1.1,1,,0.090909,0.01,0.1375,0.142857
20,Larney et al.,2016,Canada,Vauxhall,North America,no,,50° 04' N,112° 06' W,,778,303,337,5.7,5.5,,0.2795,Semi-Arid,3.5638,mixed,horticulture,yes,frequent,multiple,CT,no,no,no,yes,yes,no,no,0,12,12,sprinklers,sprinkler,fresh,,,,,,Plot,8,15,7.5,10-20cm,10-20cm,,,1.417411,1.317835,SL,,,SL,,,7.31,7.46,,,,,,,,,,,,,,2,2,,,,,,,,,,,,11.8,10.2,0.1,0.1,0.008475,0.009804,11.8,10.2,1.109729,0.569543,-0.063281836,-0.133333333,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,1.3,1.1,0.01,0.01,1.3,1.1,,0.007692,0.009091,0.1625,0.157143
20,Larney et al.,2016,Canada,Vauxhall,North America,no,,50° 04' N,112° 06' W,,778,303,337,5.7,5.5,,0.2795,Semi-Arid,3.5638,mixed,horticulture,yes,frequent,multiple,CT,no,no,no,yes,yes,no,no,0,12,12,sprinklers,sprinkler,fresh,,,,,,Plot,15,30,15,20-30cm,20-30cm,,,1.407058,1.313806,SL,,,SL,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,16,16.4,1.5,1.3,0.09375,0.079268,16,16.4,1.504717,0.915736,0.010723865,0.033333333,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,
21a,Lenka et al.,2014,India,Pusa-N,Asia,yes,N-,23° 27' N,78° 48' E,,487,,1231,,25.6,semiarid,0.5888,Dry sub-humid,1.6994,cereals,cereals,yes,,,,yes,no,yes,no,,no,no,0,1,1,,,fresh,,,,,,Plot,0,15,15,0-10cm,0-10cm,,,1.394353448,1.401693833,CL,,,CL,,,7.56,7.56,,,,,,,,,,,,,,3,3,3.5,3.5,0,0,0,0.5,0.5,0.142857143,0.142857143,0.499286733,0.477272727,,,,,,,7.320355602,7.358892623,0.688441461,0.410902634,0.002280288,0.038537021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
