ref_num,authors,year,country,site_name,latitude,longitude,elevation,elec_raster,avg_annual_precip,precip_raster,avg_annual_temp,temp_raster,climate,aridity_index_study,aridity_category,aridity_index,vegetation_type,crop_type_study,crop_type,multiple_crops,tillage_freq_study,tillage_freq,tillage_type,residue_removal,grazed,cover_crop,inorganic_N_applied,herbicide,OM_applied,inorganic_C_applied,years_since_irrigation,irrig_method,irrig_methodcat,irrig_type,irrig_water_pH,irrig_water_bicarbinate,irrig_water_Ca,irrig_water_C,irrig_water_N,study_scale,soil_upper_limit,soil_lower_limit,soil_sample_thickness,depth_category,depth_category_2,BD_native,BD_irrig,BD_nat_rf,BD_irr_rf,per_sand_nat,per_clay_nat,soil_texture_nat,per_sand_irrig,per_clay_irrig,soil_texture_irrig,soil_pH_nat,soil_pH_irrig,total_C_n_native,total_C_n_irr,total_C_nat,total_C_irr,total_C_sd_nat,total_C_sd_irr,total_C_nat_cov,total_C_irr_cov,total_C_nat_sd_calc,total_C_irr_sd_calc,total_C_st_nat,total_C_st_irr,total_C_st_sd_nat,total_C_st_sd_irr,total_C_st_nat_calc,total_C_st_irr_calc,log_total_C_rr,log_total_C_st_calc_rr,total_C_st_nat_cov,total_C_st_irr_cov,total_C_st_sd_nat_calc,total_C_st_sd_nat_calc,organic_C_n_nat,organic_C_n_irr,organic_C_nat,organic_C_irr,log_organic_C_rr,organic_C_sd_nat,organic_C_sd_irr,organic_C_nat_cov,organic_C_irr_cov,organic_C_nat_sd_calc,organic_C_irr_sd_calc,organic_C_st_nat,organic_C_st_irr,organic_C_st_sd_nat,organic_C_st_sd_irr,organic_C_st_nat_calc,organic_C_st_irr_calc,log_organic_C_st_rr,per_OC_st_change,organic_C_st_nat_cov,organic_C_st_irr_cov,organic_C_st_sd_nat_calc,organic_C_st_sd_irr_calc,OC_change_rate,inorganic_C_n_nat,inorganic_C_n_irr,inorganic_C_nat,inorganic_C_irr,log_inorganic_C_rr,inorganic_C_sd_nat,inorganic_C_sd_irr,inorganic_C_nat_cov,inorganic_C_irr_cov,inorganic_C_nat_sd_calc,inorganic_C_irr_sd_calc,inorganic_C_st_nat,inorganic_C_st_irr,inorganic_C_st_sd_nat,inorganic_C_st_sd_irr,inorganic_C_st_nat_calc,inorganic_C_st_irr_calc,log_inorganic_C_st_nat_calc_rr,inorganic_C_st_nat_cov,inorganic_st_C_irr_cov,inorganic_C_st_nat_sd_calc,inorganic_C_st_nat_sd_calc,total_N_n_nat,total_N_n_irr,total_N_nat,total_N_irr,log_total_N_rr,total_N_sd_nat,total_N_sd_irr,total_N_nat_cov,total_N_irr_cov,total_N_nat_sd_calc,total_N_irr_sd_calc,total_N_st_nat,total_N_st_irr,log_total_N_st_rr,total_N_st_sd_nat,total_N_st_sd_irr,total_N_st_nat_calc,total_N_st_irr_calc,log_total_N_st_rr_calc,total_N_nat_st_cov,total_N_irr_st_cov,total_N_nat_st_sd_calc,total_N_irr_st_sd_calc
3,Zhang et al.,2014,China,Gaolan Experiment Station - AL,36° 13' N,103° 47' E,1780,1905,263,342,8.4,8,semiarid,0.28,Semi-Arid,3.652,native shrubs and grasses,"mixed, then cereals",cereals,yes,1,once,CT,no,no,,annually,,manure,no,50,furrow,floodfurr,,,,,,,Plot,20,40,20,20-30cm,20-30cm,1.13,1.42,1.153906667,1.361975778,28,3.8,SiL,32,3.8,SiL,8.96,9.16,,,,,,,,,,,,,,,,,,,,,,,3,3,4.24,4.59,0.034446829,0.81,0.52,0.191037736,0.11328976,0.757408056,0.642814899,,,,,9.785128536,12.50293764,0.10644553,27.77489426,,,0.583641852,0.398242836,0.007,,,,,,,,,,,,,,,,,,,,,,,3,3,0.57,0.6,0.022276395,0.09,0.09,0.157894737,0.15,0.09,0.088317215,,,,,,1.3154536,1.634370934,0.094275096,,,0.081648844,0.045675008
3,Zhang et al.,2014,China,Gaolan Experiment Station - AL,36° 13' N,103° 47' E,1780,1905,263,342,8.4,8,semiarid,0.28,Semi-Arid,3.652,native shrubs and grasses,"mixed, then cereals",cereals,yes,1,once,CT,no,no,,annually,,manure,no,50,furrow,floodfurr,,,,,,,Plot,40,60,20,40-50cm,30+cm,1.163333333,1.223333333,1.173933259,1.254085815,23,4.766666667,SiL,27,4,SiL,9.136666667,9.23,,,,,,,,,,,,,,,,,,,,,,,3,3,2.533333333,3.266666667,0.110412483,0.263333333,0.62,0.089347079,0.187179487,0.452539405,0.457486275,,,,,5.9394337,8.171221089,0.138541923,37.57576062,,,0.354262294,0.260269255,0.014666667,,,,,,,,,,,,,,,,,,,,,,,3,3,0.376666667,0.476666667,0.102257594,0.026666667,0.086666667,0.069767442,0.185185185,0.059473684,0.07016312,,,,,,0.883297162,1.193272214,0.130632693,,,0.054825341,0.033347826
3b,Zhang et al.,2014,China,Gaolan Experiment Station - AG,36° 13' N,103° 47' E,1780,1905,263,342,8.4,8,semiarid,0.28,Semi-Arid,3.652,native shrubs and grasses,"mixed, then alfalfa",cereals,yes,0,never,na,no,no,legumes,no,,no,no,50,furrow,floodfurr,,,,,,,Plot,0,10,10,0-10cm,0-10cm,1.17,1.21,1.169824667,1.219445333,32,3.8,SiL,38,3.2,SiL,9.24,9.05,,,,,,,,,,,,,,,,,,,,,,,3,3,5.71,8,0.146453879,1.02,0.38,0.178633975,0.0475,1.02,1.120374551,,,,,6.679698849,9.755562664,0.16449544,46.04794145,,,0.398416004,0.310733609,0.0458,,,,,,,,,,,,,,,,,,,,,,,3,3,0.71,0.93,0.1172246,0.1,0.05,0.14084507,0.053763441,0.112105263,0.136891683,,,,,,0.830575514,1.13408416,0.135266161,,,0.051552963,0.031693725
3b,Zhang et al.,2014,China,Gaolan Experiment Station - AG,36° 13' N,103° 47' E,1780,1905,263,342,8.4,8,semiarid,0.28,Semi-Arid,3.652,native shrubs and grasses,"mixed, then alfalfa",cereals,yes,0,never,na,no,no,legumes,no,,no,no,50,furrow,floodfurr,,,,,,,Plot,10,20,10,10-20cm,10-20cm,1.13,1.31,1.150133778,1.298010111,27,3.8,SiL,24,4.6,SiL,9.21,9.15,,,,,,,,,,,,,,,,,,,,,,,3,3,4.83,5.56,0.061127661,0.54,0.21,0.111801242,0.037769784,0.862802102,0.778660313,,,,,5.555146148,7.216936217,0.113657378,29.91442574,,,0.331341155,0.229873429,0.0146,,,,,,,,,,,,,,,,,,,,,,,3,3,0.65,0.68,0.019595556,0.16,0.05,0.246153846,0.073529412,0.102631579,0.100092843,,,,,,0.747586956,0.882646875,0.072125273,,,0.046401949,0.024666924
3b,Zhang et al.,2014,China,Gaolan Experiment Station - AG,36° 13' N,103° 47' E,1780,1905,263,342,8.4,8,semiarid,0.28,Semi-Arid,3.652,native shrubs and grasses,"mixed, then alfalfa",cereals,yes,0,never,na,no,no,legumes,no,,no,no,50,furrow,floodfurr,,,,,,,Plot,20,40,20,20-30cm,20-30cm,1.13,1.24,1.152440889,1.284657,28,3.8,SiL,25,3.5,SiL,8.96,9.19,,,,,,,,,,,,,,,,,,,,,,,3,3,4.24,4.01,-0.024221484,0.81,0.52,0.191037736,0.12967581,0.757408056,0.561587744,,,,,9.772698739,10.30294914,0.022947045,5.425833899,,,0.582900467,0.328168931,-0.0046,,,,,,,,,,,,,,,,,,,,,,,3,3,0.57,0.54,-0.023481096,0.09,0.1,0.157894737,0.185185185,0.09,0.079485493,,,,,,1.313782613,1.38742956,0.023687433,,,0.081545128,0.038773852
3b,Zhang et al.,2014,China,Gaolan Experiment Station - AG,36° 13' N,103° 47' E,1780,1905,263,342,8.4,8,semiarid,0.28,Semi-Arid,3.652,native shrubs and grasses,"mixed, then alfalfa",cereals,yes,0,never,na,no,no,legumes,no,,no,no,50,furrow,floodfurr,,,,,,,Plot,40,60,20,40-50cm,30+cm,1.163333333,1.2,1.175084667,1.233391333,23,4.766666667,SiL,24,3.733333333,SiL,9.136666667,9.276666667,,,,,,,,,,,,,,,,,,,,,,,3,3,2.533333333,3.446666667,0.133706946,0.263333333,0.62,0.089347079,0.195187166,0.452539405,0.482694703,,,,,5.946616373,8.496913988,0.1549913,42.88653336,,,0.354690711,0.270643205,0.018266667,,,,,,,,,,,,,,,,,,,,,,,3,3,0.376666667,0.483333333,0.108289559,0.026666667,0.21,0.069767442,0.307692308,0.059473684,0.071144423,,,,,,0.884385,1.191625412,0.129498388,,,0.054892862,0.033301804
4a,Goenster et al.,2017,Mongolia,Khovd Province - 1-4,46.092 N,91.545 E,1184,1179,75.4,105,2.5,2.4,arid,0.0851,Arid,11.8476,native grasses,vegetables,horticulture,no,,,,,no,no,,,,,,flood,floodfurr,fresh,,,,,,Farm,0,10,10,0-10cm,0-10cm,1.67,1.22,1.603248667,1.269078556,73,6,SaL,52,10,L,8.8,8.9,5,5,45.3,6.4,,,,,,,,,,,72.62716462,8.122102758,-0.849918228,-0.95143061,,,6.286481646,0.576229396,5,5,3.1,14.7,0.675955641,,,,,0.553765324,2.058688238,,,,,4.970070868,18.65545477,0.574443259,275.3559107,,,0.296443869,0.59421245,,5,5,5.8,0.5,-1.064457989,,,,,1.493575784,0.073398109,,,,,9.298842269,0.634539278,-1.165970371,,,2.684201892,0.314601016,5,5,0.3,1.5,0.698970004,,,,,0.047368421,0.220793037,,,,,,0.4809746,1.903617834,0.597457623,,,0.029853596,0.053199526
4b,Goenster et al.,2017,Mongolia,Khovd Province - 1-5,46.092 N,91.545 E,1184,1179,75.4,105,2.5,2.4,arid,0.0851,Arid,11.8476,native grasses,woody perennials,woody crops,no,,,,no,no,yes - type unknown,,,,,,flood,floodfurr,fresh,,,,,,Farm,0,10,10,0-10cm,0-10cm,1.67,1.37,1.624162667,1.372693556,73,6,SaL,59,9,SL,8.8,8.8,5,5,45.3,7.5,,,,,,,,,,,73.57456882,10.29520167,-0.781036939,-0.854092867,,,6.368487313,0.730401722,5,5,3.1,13.1,0.625909602,,,,,0.553765324,1.834613327,,,,,5.034904268,17.98228558,0.552853673,257.1524824,,,0.30031091,0.572770705,,5,5,5.8,0.6,-0.985276743,,,,,1.493575784,0.088077731,,,,,9.420143469,0.823616134,-1.058332672,,,2.719216671,0.408344261,5,5,0.3,1.3,0.636822098,,,,,0.047368421,0.191353965,,,,,,0.4872488,1.784501623,0.563766169,,,0.030243029,0.049870641
4c,Goenster et al.,2017,Mongolia,Khovd Province - 1-6,46.092 N,91.545 E,1184,1179,75.4,105,2.5,2.4,arid,0.0851,Arid,11.8476,native grasses,cereals,cereals,no,,,,no,no,yes - type unknown,,,,,,flood,floodfurr,fresh,,,,,,Farm,0,10,10,0-10cm,0-10cm,1.67,1.31,1.612601333,1.316667444,73,6,SaL,46,12,L,8.8,8.6,5,5,45.3,5.6,,,,,,,,,,,73.05084038,7.373337686,-0.907910175,-0.995961092,,,6.323154287,0.52310763,5,5,3.1,18.4,0.773456129,,,,,0.553765324,2.576861468,,,,,4.999064132,24.22668097,0.685405212,384.6243283,,,0.298173196,0.77166682,,5,5,5.8,0.7,-0.918329954,,,,,1.493575784,0.102757353,,,,,9.353087731,0.921667211,-1.006380871,,,2.699860376,0.456957435,5,5,0.3,1.8,0.77815125,,,,,0.047368421,0.264951644,,,,,,0.4837804,2.370001399,0.690100333,,,0.030027749,0.066233332
5,Rezapour et al.,2015,Iran,Piranshahr,36°49' N,45° 13' E,,1490,650,499,12.5,11.1,mediterranean,0.3012,Semi-Arid,3.3046,native shrubs and grasses,mixed,horticulture,yes,,,CT,yes,,,,,yes,,50,,,fresh,,,,,,Farm,0,150,150,70-80cm,30+cm,,,1.357296667,1.377152778,33.1,33.1,CL,32.8,35.1,CL,6.91,6.78,,,,,,,,,,,,,,,,,,,,,,,3,3,7.2,5.2,-0.141329153,2.1,0.6,0.291666667,0.115384615,1.286164623,0.728243458,,,,,146.58804,107.4179167,-0.135021813,-26.72122726,,,8.743361405,3.421469177,-0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
