ref_num,authors,year,country,site,Latitude,Longitude,elevation,elevation_raster,avg_annual_precip,precip_raster,avg_annual_temp,temp_raster,climate,aridity_index_study,aridity_category,aridity_index,crop_type_study,crop_type,multiple_crops,tillage_freq_study,tillage_freq,tillage_type,residue_removal,grazed,cover_crop,inorganic_N_applied,herbicide,OM_applied,inorganic_C_applied,years_since_irrigation,irrig_method,irrig_methodcat,irrig_type,irrig_water_pH,irrig_water_bicarbinate,irrig_water_Ca,irrig_water_C,irrig_water_N,study_scale,soil_upper_limit,soil_lower_limit,soil_sample_thickness,depth_category,depth_category_2,BD_rainfed,BD_irrig,BD_rain_rf,BD_irrig_rf,per_sand_rainfed,per_clay_rainfed,soil_texture_rainfed,per_sand_irrig,per_clay_irrig,soil_texture_irrig,soil_pH_rainfed,soil_pH_irrig,total_C_n_rainfed,total_C_n_irrig,total_C_rainfed,total_C_irrig,total_C_sd_rainfed,total_C_sd_irrig,total_C_rainfed_cov,total_C_irrig_cov,total_C_rainfed_sd_calc,total_C_irrig_sd_calc,total_C_st_rainfed,total_C_st_irrig,total_C_st_sd_rainfed,total_C_st_sd_irrig,total_C_st_rain_calc,total_C_st_irr_calc,total_C_st_rain_cov,total_C_st_irr_cov,total_C_st_sd_rain_calc,total_C_st_sd_irr_calc,organic_C_n_rainfed,organic_C_n_irrig,organic_C_rainfed,organic_C_irrig,log_organic_C_ratio,organic_C_sd_rainfed,organic_C_sd_irrig,organic_C_rain_cov,organic_C_irr_cov,organic_C_rain_sd_calc,organic_C_irr_sd_calc,organic_C_st_rainfed,organic_C_st_irrig,organic_C_st_sd_rainfed,organic_C_st_sd_irrig,organic_C_st_rain_calc,organic_C_st_irr_calc,log_organic_C_st_rr,per_OC_st_change,organic_C_st_rain_cov,organic_C_st_irr_cov,organic_C_st_rain_sd_calc,organic_C_st_irr_sd_calc,OC_change_rate,OC_change_rate,inorganic_C_n_rainfed,inorganic_C_n_irrig,inorganic_C_rainfed,inorganic_C_irrig,inorganic_C_sd_rainfed,inorganic_C_sd_irrig,inorganic_C_rain_cov,inorganic_C_irr_cov,inorganic_C_rain_sd_calc,inorganic_C_irr_sd_calc,inorganic_C_st_rainfed,inorganic_C_st_irrig,inorganic_C_st_sd_rainfed,inorganic_C_st_sd_irrig,inorganic_C_st_rain_calc,inorganic_C_st_irr_calc,inorganic_C_st_rain_cov,inorganic_C_st_irr_cov,inorganic_C_st_sd_rain_calc,inorganic_C_st_sd_irr_calc,total_N_n_rainfed,total_N_n_irrig,total_N_rainfed,total_N_irrig,total_N_sd_rainfed,total_N_sd_irrig,total_N_rain_cov,total_N_irr_cov,total_N_rain_sd_calc,total_N_irr_sd_calc,total_N_st_rainfed,total_N_st_irrig,total_N_st_sd_rainfed,total_N_st_sd_irrig,total_N_st_rain_calc,total_N_st_irr_calc,total_N_st_rain_cov,total_N_st_irr_cov,total_N_st_sd_rain_calc,total_N_st_sd_irr_calc
8a,Dersch & Böhm,2001,Austria,Marchfeld - No N,48° 15? N,16° 40? E,150,148,540,593,9.1,10,semiarid,0.5756,Dry sub-humid,1.742,Cereals-sugar beet-maize-oilcrops,cereals,yes,,,,,,,yes,,,,27,,,,,,,,,Plot,0,25,25,10-20cm,10-20cm,,,1.476454167,1.448382833,,,SL,,,SL,7.5,7.5,,,,,,,,,,,,,,,,,,,,,27,27,,,,,,,,,,46.4,43.5,,,46.4,43.5,-0.028028724,-6.25,,,5.498490777,3.332298137,-0.107407407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8b,Dersch & Böhm,2001,Austria,Marchfeld- Medium N,48° 15? N,16° 40? E,150,148,540,593,9.1,10,semiarid,0.5756,Dry sub-humid,1.742,Cereals-sugar beet-maize-oilcrops,cereals,yes,,,,,,,yes,,,,27,,,,,,,,,Plot,0,25,25,10-20cm,10-20cm,,,1.482816833,1.451153167,,,SL,,,SL,7.5,7.5,,,,,,,,,,,,,,,,,,,,,27,27,,,,,,,,,,48,45.7,,,48,45.7,-0.021325037,-4.791666667,,,5.688093907,3.500828157,-0.085185185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8c,Dersch & Böhm,2001,Austria,Marchfeld - Optimum N,48° 15? N,16° 40? E,150,148,540,593,9.1,10,semiarid,0.5756,Dry sub-humid,1.742,Cereals-sugar beet-maize-oilcrops,cereals,yes,,,,,,,yes,,,,27,,,,,,,,,Plot,0,25,25,10-20cm,10-20cm,,,1.4843165,1.450796167,,,SL,,,SL,7.5,7.5,,,,,,,,,,,,,,,,,,,,,27,27,,,,,,,,,,49.7,46.3,,,49.7,46.3,-0.030775398,-6.841046278,,,5.889547233,3.54679089,-0.125925926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8d,Dersch & Böhm,2001,Austria,Marchfeld - Excessive N,48° 15? N,16° 40? E,150,148,540,593,9.1,10,semiarid,0.5756,Dry sub-humid,1.742,Cereals-sugar beet-maize-oilcrops,cereals,yes,,,,,,,yes,,,,27,,,,,,,,,Plot,0,25,25,10-20cm,10-20cm,,,1.4843165,1.450796167,,,SL,,,SL,7.5,7.5,,,,,,,,,,,,,,,,,,,,,27,27,,,,,,,,,,49.4,48.4,,,49.4,48.4,-0.008881587,-2.024291498,,,5.853996646,3.707660455,-0.037037037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9a,Friedel et al.,2000,Mexico,Mezquital Valley,19° 45? N,98° 56? W,2100,2304,640,525,17,15.7,semiarid,0.2862,Semi-Arid,3.4381,maize,cereals,yes,,,,,,continuous,,,,,80,flooding/furrow,floodfurr,waste,8.4,,,,,Plot,0,15,15,0-10cm,0-10cm,,,1.331162167,1.303173167,,,,,26.1,SiL,7.5,7.7,,,,,,,,,,,,,,,,,,,,,4,16,10.5,35.3,0.526585406,,,,,0.666666667,25.063,,,,,20.96580413,69.00301919,0.517356569,229.1217392,,,2.484488807,5.28594557,0.600465188,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9b,Friedel et al.,2000,Mexico,Mezquital Valley,19° 45? N,98° 56? W,2100,2304,640,525,17,15.7,semiarid,0.2862,Semi-Arid,3.4381,maize,cereals,yes,,,,,,continuous,,,,,80,flooding/furrow,floodfurr,waste,8.4,,,,,Plot,0,15,15,0-10cm,0-10cm,,,1.366907167,1.335662333,,55.8,,,38.8,CL,7.4,7.6,,,,,,,,,,,,,,,,,,,,,4,16,17.7,20.5,0.063780595,,,,,1.123809524,14.555,,,,,36.29138528,41.07161674,0.053738253,13.17180764,,,4.300600157,3.146272918,0.059752893,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Gillabel et al.,2007,USA,"Imperial, Nebraska",40° 31? N,101° 38? W,1029,999,570,489,11,9.9,semiarid,0.3007,Semi-Arid,3.3538,Wheat then mixed,cereals,yes,,,RT,yes,no,continuous,,yes,,,37,center pivot,sprinkler,,,,,,,Plot,0,5,5,0-10cm,0-10cm,1.21,1.24,1.2833365,1.290255667,46,19,L,46,20,L,,,,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,,,,7.46,9.4,1.75,2.04,7.46,9.4,0.100389026,26.00536193,0.23458445,0.217021277,0.884024595,0.720082816,0.052432432,,,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,,,0.79,0.98,0.17,0.2,0.79,0.98,0.215189873,0.204081633,0.098238342,0.07480916
10,Gillabel et al.,2007,USA,"Imperial, Nebraska",40° 31? N,101° 38? W,1029,999,570,489,11,9.9,semiarid,0.3007,Semi-Arid,3.3538,Wheat then mixed,cereals,yes,,,RT,yes,no,continuous,,yes,,,37,center pivot,sprinkler,,,,,,,Plot,5,20,15,10-20cm,10-20cm,1.47,1.44,1.4033635,1.386100667,44,23,L,46,22,L,,,,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,,,,19.17,23.48,1.75,2,19.17,23.48,0.08807598,22.48304643,0.091288472,0.085178876,2.271682504,1.798674948,0.116486486,,,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,,,2.28,2.62,0.17,0.2,2.28,2.62,0.074561404,0.076335878,0.283523316,0.2
11,Giubergia et al.,2013,Argentina,Manfredi Experimental Station,31° 60? S,63° 7? W,292,183,757,802,16.9,17,semiarid,0.5016,Dry sub-humid,1.995,mixed,cereals,yes,,,RT,no,no,continuous,yes,,yes,,33,center pivot,sprinkler,fresh,,,,,,Plot,0,10,10,0-10cm,0-10cm,1.09,1.03,1.244386167,1.171543333,,,Si,,,Si,,,,,,,,,,,,,,,,,,,,,,,10,14,,,,,,,,,,17.89,16.91,2.12,1.09,17.89,16.91,-0.024466733,-5.477920626,0.118501956,0.0644589,2.12,1.295383023,-0.02969697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Giubergia et al.,2013,Argentina,Manfredi Experimental Station,31° 60? S,63° 7? W,292,183,757,802,16.9,17,semiarid,0.5016,Dry sub-humid,1.995,mixed,cereals,yes,,,RT,no,no,continuous,yes,,yes,,33,center pivot,sprinkler,fresh,,,,,,Plot,10,20,10,10-20cm,10-20cm,1.41,1.35,1.3687415,1.306887167,,,Si,,,Si,,,,,,,,,,,,,,,,,,,,,,,10,14,,,,,,,,,,16.35,15.66,2.1,1.11,16.35,15.66,-0.018725999,-4.220183486,0.128440367,0.070881226,1.937506987,1.199627329,-0.020909091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
