ref_num,authors,year,country,site,Latitude,Longitude,elevation,elevation_raster,avg_annual_precip,precip_raster,avg_annual_temp,temp_raster,climate,aridity_index_study,aridity_category,aridity_index,crop_type_study,crop_type,multiple_crops,tillage_freq_study,tillage_freq,tillage_type,residue_removal,grazed,cover_crop,inorganic_N_applied,herbicide,OM_applied,inorganic_C_applied,years_since_irrigation,irrig_method,irrig_methodcat,irrig_type,irrig_water_pH,irrig_water_bicarbinate,irrig_water_Ca,irrig_water_C,irrig_water_N,study_scale,soil_upper_limit,soil_lower_limit,soil_sample_thickness,depth_category,depth_category_2,BD_rainfed,BD_irrig,BD_rain_rf,BD_irrig_rf,per_sand_rainfed,per_clay_rainfed,soil_texture_rainfed,per_sand_irrig,per_clay_irrig,soil_texture_irrig,soil_pH_rainfed,soil_pH_irrig,total_C_n_rainfed,total_C_n_irrig,total_C_rainfed,total_C_irrig,total_C_sd_rainfed,total_C_sd_irrig,total_C_rainfed_cov,total_C_irrig_cov,total_C_rainfed_sd_calc,total_C_irrig_sd_calc,total_C_st_rainfed,total_C_st_irrig,total_C_st_sd_rainfed,total_C_st_sd_irrig,total_C_st_rain_calc,total_C_st_irr_calc,total_C_st_rain_cov,total_C_st_irr_cov,total_C_st_sd_rain_calc,total_C_st_sd_irr_calc,organic_C_n_rainfed,organic_C_n_irrig,organic_C_rainfed,organic_C_irrig,log_organic_C_ratio,organic_C_sd_rainfed,organic_C_sd_irrig,organic_C_rain_cov,organic_C_irr_cov,organic_C_rain_sd_calc,organic_C_irr_sd_calc,organic_C_st_rainfed,organic_C_st_irrig,organic_C_st_sd_rainfed,organic_C_st_sd_irrig,organic_C_st_rain_calc,organic_C_st_irr_calc,log_organic_C_st_rr,per_OC_st_change,organic_C_st_rain_cov,organic_C_st_irr_cov,organic_C_st_rain_sd_calc,organic_C_st_irr_sd_calc,OC_change_rate,OC_change_rate,inorganic_C_n_rainfed,inorganic_C_n_irrig,inorganic_C_rainfed,inorganic_C_irrig,inorganic_C_sd_rainfed,inorganic_C_sd_irrig,inorganic_C_rain_cov,inorganic_C_irr_cov,inorganic_C_rain_sd_calc,inorganic_C_irr_sd_calc,inorganic_C_st_rainfed,inorganic_C_st_irrig,inorganic_C_st_sd_rainfed,inorganic_C_st_sd_irrig,inorganic_C_st_rain_calc,inorganic_C_st_irr_calc,inorganic_C_st_rain_cov,inorganic_C_st_irr_cov,inorganic_C_st_sd_rain_calc,inorganic_C_st_sd_irr_calc,total_N_n_rainfed,total_N_n_irrig,total_N_rainfed,total_N_irrig,total_N_sd_rainfed,total_N_sd_irrig,total_N_rain_cov,total_N_irr_cov,total_N_rain_sd_calc,total_N_irr_sd_calc,total_N_st_rainfed,total_N_st_irrig,total_N_st_sd_rainfed,total_N_st_sd_irrig,total_N_st_rain_calc,total_N_st_irr_calc,total_N_st_rain_cov,total_N_st_irr_cov,total_N_st_sd_rain_calc,total_N_st_sd_irr_calc
11,Giubergia et al.,2013,Argentina,Manfredi Experimental Station,31° 60? S,63° 7? W,292,183,757,802,16.9,17,semiarid,0.5016,Dry sub-humid,1.995,mixed,cereals,yes,,,RT,no,no,continuous,yes,,yes,,33,center pivot,sprinkler,fresh,,,,,,Plot,20,40,20,20-30cm,20-30cm,1.42,1.35,1.4245565,1.355386667,,,Si,,,Si,,,,,,,,,,,,,,,,,,,,,,,10,14,,,,,,,,,,21.42,20.36,3.16,2.04,21.42,20.36,-0.022041693,-4.948646125,0.147525677,0.100196464,2.538311906,1.559668737,-0.032121212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Giubergia et al.,2013,Argentina,Manfredi Experimental Station,31° 60? S,63° 7? W,292,183,757,802,16.9,17,semiarid,0.5016,Dry sub-humid,1.995,mixed,cereals,yes,,,RT,no,no,continuous,yes,,yes,,33,center pivot,sprinkler,fresh,,,,,,Plot,40,80,40,50-60cm,30+cm,1.42,1.35,1.438393833,1.357196167,,,Si,,,Si,,,,,,,,,,,,,,,,,,,,,,,10,14,,,,,,,,,,22.35,21.24,3.68,2.58,22.35,21.24,-0.022123015,-4.966442953,0.164653244,0.121468927,2.648518726,1.627080745,-0.033636364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Hao et al.,2003,Canada,Agri-Food Canada Research Center,49° 42? N,112° 48? W,915,918,389,380,5.9,6.3,semiarid,0.2928,Semi-Arid,3.4395,mixed,cereals,yes,1,once,CT,yes,no,,,,no,no,25,,,,,,,,,Plot,0,15,15,0-10cm,0-10cm,,,1.417784,1.366758667,38,31,CL,38,31,CL,,,,,,,,,,,,,,,,,,,,,,,3,3,18.8,18.7,-0.002316243,,,,,1.193650794,13.277,,,,,39.9815088,38.33758061,-0.018234477,-4.111721241,,,4.737887013,2.936833297,-0.065757128,-0.004,,,,,,,,,,,,,,,,,,,,,3,3,2.1,2.1,,,,,0.12,0.130088496,,,,,4.4660196,4.305289801,,,0.55535995,0.328648076
12,Hao et al.,2003,Canada,Agri-Food Canada Research Center,49° 42? N,112° 48? W,915,918,389,380,5.9,6.3,semiarid,0.2928,Semi-Arid,3.4395,mixed,cereals,yes,1,once,CT,yes,no,,,,no,no,25,,,,,,,,,Plot,15,30,15,20-30cm,20-30cm,,,1.466413833,1.402655167,38,31,CL,38,31,CL,,,,,,,,,,,,,,,,,,,,,,,3,3,10.3,9.5,-0.035113619,,,,,0.653968254,6.745,,,,,22.65609372,19.98783613,-0.054419252,-11.77721819,,,2.68479143,1.531159289,-0.106730304,-0.032,,,,,,,,,,,,,,,,,,,,,3,3,1.3,1.2,,,,,0.074285714,0.074336283,,,,,2.859506974,2.524779301,,,0.35558636,0.192731244
12,Hao et al.,2003,Canada,Agri-Food Canada Research Center,49° 42? N,112° 48? W,915,918,389,380,5.9,6.3,semiarid,0.2928,Semi-Arid,3.4395,mixed,cereals,yes,1,once,CT,yes,no,,,,no,no,25,,,,,,,,,Plot,30,60,30,40-50cm,30+cm,,,1.46433175,1.403617334,38,31,CL,38,31,CL,,,,,,,,,,,,,,,,,,,,,,,3,3,5.1,3.95,-0.11097308,,,,,0.323809524,2.8045,,,,,22.40786484,16.63387585,-0.12940702,-25.76768928,,,2.655375822,1.274230655,-0.524629958,-0.046,,,,,,,,,,,,,,,,,,,,,3,3,0.525,0.5,,,,,0.03,0.030973451,,,,,2.306587425,2.10554465,,,0.286829524,0.1607286
13a,Martiniello,2011,Italy,A. Menichella - Agricultural Research Council,41° 31? N,15° 33? E,76,50,383,475,15.6,15.8,arid,0.3331,Semi-Arid,3.0316,Wheat,cereals,no,,,CT,yes,no,no,yes,,no,,18,Drop sprinklers,drippers,,,,,,,Plot,0,35,35,10-20cm,10-20cm,,,1.468662667,1.431355667,,,,,,,,8.2,,,,,,,,,,,,,,,,,,,,,3,3,11.1,10,-0.045322979,0.9,0.8,0.081081081,0.08,0.704761905,7.1,,,,,57.05754461,50.09744835,-0.056497472,-12.19838026,,,6.761430664,3.83769273,-0.386672014,-0.061111111,,,,,,,,,,,,,,,,,,,,,3,3,1.1,1.2,0.07,0.07,0.063636364,0.058333333,0.062857143,0.074336283,,,,,5.654351268,6.011693801,,,0.703131764,0.458907924
13b,Martiniello,2011,Italy,A. Menichella - Agricultural Research Council,41° 31? N,15° 33? E,76,50,383,475,15.6,15.8,arid,0.3331,Semi-Arid,3.0316,Wheat,cereals,no,,,CT,yes,no,non-legumes,yes,,no,,18,Drop sprinklers,drippers,,,,,,,Plot,0,35,35,10-20cm,10-20cm,,,1.468458,1.4299925,,,,,,,,8.2,,,,,,,,,,,,,,,,,,,,,3,3,15.9,13.7,-0.064676557,0.9,0.9,0.056603774,0.065693431,1.00952381,9.727,,,,,81.7196877,68.56814038,-0.076204327,-16.093487,,,9.683942869,5.252631871,-0.730641518,-0.122222222,,,,,,,,,,,,,,,,,,,,,3,3,1.2,1.13,0.06,0.07,0.05,0.061946903,0.068571429,0.07,,,,,6.1675236,5.655620338,,,0.76694594,0.431726743
14a,Martiniello,2014,Italy,A. Menichella - Agricultural Research Council,41° 31? N,15° 33? E,76,50,383,475,15.6,15.8,arid,0.3331,Semi-Arid,3.0316,Wheat,cereals,no,,,,yes,no,legumes,yes,,no,,3,Drop sprinklers,drippers,,,,,,,Plot,0,35,35,10-20cm,10-20cm,,,1.462553833,1.429143333,55,26,SCL,55,26,SCL,,,,,,,,,,,,,,,,,,,,,,,3,3,13.86,14.61,0.022886986,,,,,0.88,10.3731,,,,,70.94848644,73.07924433,0.012850913,3.003246435,,,8.407534447,5.598202982,0.71025263,0.25,,,,,,,,,,,,,,,,,,,,,3,3,1.29,1.23,,,,,0.073714286,0.07619469,,,,,6.603430556,6.152462049,,,0.821151986,0.469653591
14b,Martiniello,2014,Italy,A. Menichella - Agricultural Research Council,41° 31? N,15° 33? E,76,50,383,475,16.6,15.8,arid,0.3331,Semi-Arid,3.0316,Wheat,cereals,no,,,,yes,no,non-legumes,yes,,no,,3,Drop sprinklers,drippers,,,,,,,Plot,0,35,35,10-20cm,10-20cm,,,1.468519667,1.428882,55,26,SCL,55,26,SCL,,,,,,,,,,,,,,,,,,,,,,,3,3,12.87,11.77,-0.038802084,,,,,0.817142857,8.3567,,,,,66.1494684,58.86279399,-0.050685486,-11.01546934,,,7.83884142,4.509158132,-2.42889147,-0.366666667,,,,,,,,,,,,,,,,,,,,,3,3,1.33,1.13,,,,,0.076,0.07,,,,,6.83595905,5.65122831,,,0.850067447,0.431391474
15,Sepahvand and Feizian,2017,Iran,"Razan, Lorestan Province",32° 56? N,47° 31? E,1147,782,350,399,17.7,21.3,semiarid,0.1502,Arid,6.619,Cereals,cereals,yes,,,,yes,no,,,,,,,,,,,,,,,Plot,0,15,15,0-10cm,0-10cm,,,1.415060333,1.3793975,41.6,33.2,CL,48,32.65,CL,7.09,7.24,,,,,,,,,,,,,,,,,,,,,4,4,2.8,5,0.251811973,0.2,0.6,0.071428571,0.12,0.177777778,3.55,,,,,5.943253399,10.34548125,0.240726451,74.07101053,,,0.704287155,0.792510986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Alidoust et al.,2018,Iran,Lordregan,31° 23? N,50° 56? E,2310,3199,650,300,14.9,8.5,semiarid,0.18,Arid,5.5633,Wheat/Alfalfa,cereals,yes,0,never,CT,yes,no,no,,,,,26,,,,,,,,,Plot,0,5,5,0-10cm,0-10cm,,,1.401355889,1.36055,,35,,,35.5,,,,,,,,,,,,,,,,,,,,,,,,12,17,7.88,10.37666667,0.119531648,,,,,0.50031746,7.367433333,,,,,9.917119793,12.37268392,0.096078359,24.76085974,,,1.175198097,0.947803944,0.072358502,0.096025641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Alidoust et al.,2018,Iran,Lordregan,31° 23? N,50° 56? E,2310,3199,650,300,14.9,8.5,semiarid,0.18,Arid,5.5633,Wheat/Alfalfa,cereals,yes,0,never,CT,yes,no,no,,,,,26,,,,,,,,,Plot,15,30,15,20-30cm,20-30cm,,,1.437917333,1.384222,,35,,,35.5,,,,,,,,,,,,,,,,,,,,,,,,12,17,14.73,18.14,0.090434536,,,,,0.935238095,12.8794,,,,,31.77078347,37.66468062,0.073906364,18.55131195,,,3.764899998,2.885286093,0.226688352,0.131153846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Chaterjee et al.,2018,India,Indian Agricultureal Research Institute,28° 63? N,77° 15? E,250,227,651,748,22.2,24.3,semiarid,0.3825,Semi-Arid,2.5816,Maize,cereals,no,,,RT,no,no,continuous,yes,no,yes,no,2,,,,,,,,,Plot,0,5,5,0-10cm,0-10cm,1.626666667,1.66,1.539912111,1.579364722,64,19.2,SL,64,19.2,SL,,,,,,,,,,,,,,,,,,,,,,,3,3,4.066666667,4.7,0.062859282,,,,,0.258201058,3.337,,,,,5.238686145,5.893697059,0.051165429,12.50334331,,,0.620794557,0.45148404,0.711415354,0.316666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,McGill et al.,2018,USA,"Long Term Ecological Research Site, Michigan State University",42° 24? N,85° 24? W,288,272,1007,901,9,8.9,temperate,0.8314,Humid,1.202,corn/wheat,cereals,yes,0,never,NT,,no,continuous,no,,,,6,,,fresh,,,,,,Plot,0,10,10,0-10cm,0-10cm,,,1.429325833,1.373372833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,,,,12.23,16.36,,,12.23,16.36,0.126356842,33.76941946,,,1.449278927,1.253250518,0.688333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,McGill et al.,2018,USA,"Long Term Ecological Research Site, Michigan State University",42° 24? N,85° 24? W,288,272,1007,901,9,8.9,temperate,0.8314,Humid,1.202,corn/wheat,cereals,yes,0,never,NT,,no,continuous,no,,,,6,,,fresh,,,,,,Plot,10,25,15,10-20cm,10-20cm,,,1.464111167,1.4091215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,,,,7.39,9.51,,,7.39,9.51,0.109536079,28.68741543,,,0.875729458,0.728509317,0.353333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
