ID,TopGroup,SubGroup,depth_increment,Mean_Perc,se,Low_Perc,High_Perc,col,obs,n_study
56,Aridity,Arid,0 - 10 cm,23.46675,5.454674,12.77558896,34.15791104,orange,38,7
55,Aridity,Semi-Arid,0 - 10 cm,4.586017452,2.622564,-0.554207988,9.726242892,orange,105,30
54,Aridity,Dry Sub-Humid,0 - 10 cm,2.334774129,2.990472,-3.526550991,8.196099249,orange,27,7
53,Aridity,Humid,0 - 10 cm,-16.68725647,0.5817201,-17.82742787,-15.54708507,orange,9,2
47,Irrigation,Drippers,0 - 10 cm,2.247437159,3.812866,-5.225780201,9.720654519,cadetblue,25,7
46,Irrigation,Sprinkler,0 - 10 cm,3.68577776,3.107695,-2.40530444,9.77685996,cadetblue,81,20
45,Irrigation,Flood/Furrow,0 - 10 cm,11.04658271,3.740105,3.71597691,18.37718851,cadetblue,65,16
51,Texture,Coarse,0 - 10 cm,5.117335267,4.395432,-3.497711453,13.73238199,#bf63bf,43,13
50,Texture,Medium,0 - 10 cm,12.63963,3.396112,5.98325048,19.29600952,#bf63bf,41,11
49,Texture,Fine,0 - 10 cm,4.873135,3.041027502,-1.087278904,10.8335489,#bf63bf,90,20
43,,Increment Mean,0 - 10 cm,7.185039,2.104343709,3.060525331,11.30955267,black,179,46
42,Aridity,Arid,10 - 20 cm,46.62972,11.99774,23.1141496,70.1452904,orange,6,2
41,Aridity,Semi-Arid,10 - 20 cm,2.965791,2.300468,-1.54312628,7.47470828,orange,38,11
40,Aridity,Dry Sub-Humid,10 - 20 cm,,,,,orange,,
39,Aridity,Humid,10 - 20 cm,-6.295399516,0,-6.295399516,-6.295399516,orange,4,1
33,Irrigation,Drippers,10 - 20 cm,-5.85301025,0.1930745,-6.23143627,-5.47458423,cadetblue,7,2
32,Irrigation,Sprinkler,10 - 20 cm,11.30980443,8.041603,-4.45173745,27.07134631,cadetblue,16,5
31,Irrigation,Flood/Furrow,10 - 20 cm,10.07509,3.264274,3.67711296,16.47306704,cadetblue,18,5
37,Texture,Coarse,10 - 20 cm,22.56383913,11.28482,0.44559193,44.68208633,#bf63bf,10,3
36,Texture,Medium,10 - 20 cm,9.045186,5.098600578,-0.948071133,19.03844313,#bf63bf,17,5
35,Texture,Fine,10 - 20 cm,-0.5766565,2.624615675,-5.720903223,4.567590223,#bf63bf,21,6
29,,Increment Mean,10 - 20 cm,7.652016,3.19722867,1.385447807,13.91858419,black,48,14
28,Aridity,Arid,20 - 30 cm,10.60281,4.784463,1.22526252,19.98035748,orange,27,4
27,Aridity,Semi-Arid,20 - 30 cm,4.46220554,3.031294,-1.4791307,10.40354178,orange,44,14
26,Aridity,Dry Sub-Humid,20 - 30 cm,-3.420086687,4.053675,-11.36528969,4.525116313,orange,9,2
25,Aridity,Humid,20 - 30 cm,-30.2993722,0,-30.2993722,-30.2993722,orange,4,1
19,Irrigation,Drippers,20 - 30 cm,-18.68316139,2.882777,-24.33340431,-13.03291847,cadetblue,16,4
18,Irrigation,Sprinkler,20 - 30 cm,4.290006055,3.694422,-2.951061065,11.53107318,cadetblue,36,11
17,Irrigation,Flood/Furrow,20 - 30 cm,12.46271975,3.201368,6.18803847,18.73740103,cadetblue,29,5
23,Texture,Coarse,20 - 30 cm,-1.579965,8.719872,-18.67091412,15.51098412,#bf63bf,17,5
22,Texture,Medium,20 - 30 cm,-0.1110205,1.344597215,-2.746431041,2.524390041,#bf63bf,16,4
21,Texture,Fine,20 - 30 cm,6.752214724,2.291326,2.261215764,11.24321368,#bf63bf,50,11
15,,Increment Mean,20 - 30 cm,3.936127,2.44542169,-0.856899512,8.729153512,black,84,21
14,Aridity,Arid,30+ cm,30.99399,7.807268,15.69174472,46.29623528,orange,14,5
13,Aridity,Semi-Arid,30+ cm,-0.960362078,3.640134,-8.095024718,6.174300562,orange,24,8
12,Aridity,Dry Sub-Humid,30+ cm,-0.454141296,0.5170454,-1.46755028,0.559267688,orange,9,2
11,Aridity,Humid,30+ cm,-32.88031303,0,-32.88031303,-32.88031303,orange,4,1
5,Irrigation,Drippers,30+ cm,-14.52064162,4.127455,-22.61045342,-6.43082982,cadetblue,12,4
4,Irrigation,Sprinkler,30+ cm,10.08409111,5.399607,-0.49913861,20.66732083,cadetblue,24,7
3,Irrigation,Flood/Furrow,30+ cm,7.771444703,7.502865,-6.934170697,22.4770601,cadetblue,12,4
9,Texture,Coarse,30+ cm,2.430184374,10.5769,-18.30053963,23.16090837,#bf63bf,11,4
8,Texture,Medium,30+ cm,7.045513,4.718792,-2.20331932,16.29434532,#bf63bf,13,3
7,Texture,Fine,30+ cm,-0.1658338,4.611521462,-9.204415866,8.872748266,#bf63bf,23,7
1,,Increment Mean,30+ cm,5.397227,3.715800034,-1.885741067,12.68019507,black,51,16
