ref_num,group,treatment,depth_category,log_organic_C_rr,per_OC_change,conc_sd,organic_C_st_t1,organic_C_st_t2,st_sd,log_organic_C_st_rr,per_OC_st_change,n
23,aridity,Semi-Arid,10-20cm,-0.054067221,-5.263157895,0.55,47.88,45.36,3.517833229,-0.054067221,-5.263157895,3
24,aridity,Semi-Arid,10-20cm,1.557809329,374.8407643,0.675,12.3944435,57.70196838,2.193786367,1.53804302,365.5470687,3
25a,aridity,Semi-Arid,0-10cm,0.031748698,3.225806452,1.1083092,26.12976103,25.66162881,1.945128096,-0.018078101,-1.791567195,3
25a,aridity,Semi-Arid,20-30cm,0.091349779,9.565217391,1.0578864,24.30267242,25.43841091,1.85298185,0.045673952,4.673306984,3
25a,aridity,Semi-Arid,30+cm,0.102049254,10.74380165,0.5594763,25.51002058,27.49178505,1.967082083,0.074815896,7.768572585,3
25b,aridity,Semi-Arid,0-10cm,0.069593292,7.207207207,1.01031285,21.9113713,24.12967761,1.703998653,0.09643678,10.1239958,3
25b,aridity,Semi-Arid,20-30cm,-0.033060862,-3.25203252,1.06656285,24.63273815,24.46952376,1.841452217,-0.006647963,-0.662591372,3
25b,aridity,Semi-Arid,30+cm,-0.05815592,-5.649717514,0.758667525,35.8154045,35.24741453,2.668194723,-0.015985914,-1.585881769,3
26,aridity,Semi-Arid,0-10cm,-0.031748698,-3.125,0.75,8.424989427,8.266272965,0.626948334,-0.019018483,-1.883877291,3
27,aridity,Semi-Arid,0-10cm,0.084260344,8.791208791,0.83420985,6.587739727,7.232522963,0.51169522,0.093377628,9.787624625,4
27,aridity,Semi-Arid,10-20cm,-0.098440073,-9.375,0.5388237,18.48699954,17.03660874,1.344946293,-0.081703274,-7.845463505,4
28,aridity,Semi-Arid,0-10cm,0.070028604,7.25388601,2.281871494,57.9,62.1,1.2,0.070028604,7.25388601,4
28,aridity,Semi-Arid,20-30cm,0.039740329,4.054054054,2.011921364,51.8,53.9,2.104822323,0.039740329,4.054054054,4
29a,aridity,Semi-Arid,0-10cm,0.159332039,17.27272727,1.04680185,22.1952263,25.30382085,1.750126874,0.131078172,14.00568984,3
29b,aridity,Semi-Arid,0-10cm,0.174353387,19.04761905,1.00689375,21.26194332,25.24995938,1.704737828,0.171905771,18.75659247,3
30,aridity,Dry sub-humid,0-10cm,0.007168489,0.71942446,2.456067,50.04,50.4,3.760112488,0.007168489,0.71942446,1
31a,aridity,Semi-Arid,0-10cm,0.070826053,7.339449541,1.9854051,58.73398597,58.70340838,4.400746487,-0.000520747,-0.052061148,1
31b,aridity,Semi-Arid,0-10cm,-0.169899037,-15.625,1.5670593,52.91371035,41.38808941,3.64363997,-0.245669336,-21.78191788,1
32,aridity,Semi-Arid,10-20cm,0.057158414,5.882352941,0.9228312,38.862,40.176,2.949053361,0.033252893,3.381194998,4
32,aridity,Semi-Arid,30+cm,-0.05135756,-5.006105006,0.70425942,36.97785,35.1267,2.719485614,-0.05135756,-5.006105006,4
33,aridity,Humid,0-10cm,-0.201482055,-18.24817518,0.490384133,13.7,11.2,0.956898603,-0.201482055,-18.24817518,5
34,aridity,Arid,0-10cm,0.618445795,85.60411311,0.47963808,10.51893782,19.59889216,1.041803942,0.622295808,86.32006858,3
34,aridity,Arid,20-30cm,0.323442736,38.18770227,0.320667405,8.408477811,11.71499977,0.722456167,0.331629593,39.32366877,3
34,aridity,Arid,30+cm,0.393042588,48.14814815,0.20388795,5.084627896,7.733144535,0.454991888,0.419293726,52.08870135,3
35,aridity,Semi-Arid,0-10cm,0.297940558,34.70817121,1.78,8.616443799,11.60953571,0.729290819,0.298154357,34.73697482,3
36,aridity,Semi-Arid,10-20cm,0.183337301,20.12195122,1.436297318,49.2,59.1,7.3,0.183337301,20.12195122,4
37,aridity,Dry sub-humid,0-10cm,0.077708984,8.080808081,1.562762754,39.6,42.8,3.057014848,0.077708984,8.080808081,6
37,aridity,Dry sub-humid,20-30cm,-0.128051927,-12.01923077,1.593400348,41.6,36.6,2.977963403,-0.128051927,-12.01923077,6
37,aridity,Dry sub-humid,30+cm,-0.015631133,-1.550960118,1.19764298,33.85,33.325,2.522105018,-0.015631133,-1.550960118,6
38a,aridity,Semi-Arid,0-10cm,-0.266121313,-23.36538462,0.69044126,30.64054575,23.42534696,2.094802206,-0.268505517,-23.54787949,5
38a,aridity,Semi-Arid,20-30cm,-0.325108478,-27.75510204,0.63326481,14.65210109,10.7146124,0.988117346,-0.31297529,-26.87320178,5
39a,aridity,Semi-Arid,0-10cm,0.189868762,20.90909091,1.06327245,11.88,13.66575,0.940158388,0.140036389,15.03156566,3
39a,aridity,Semi-Arid,10-20cm,-0.214011068,-19.26605505,0.8732907,12.2625,10.296,0.864065181,-0.174790355,-16.03669725,3
39a,aridity,Semi-Arid,20-30cm,-0.117783036,-11.11111111,0.751287,20.385,18.72,1.481193252,-0.085206865,-8.167770419,3
39a,aridity,Semi-Arid,30+cm,-0.346276237,-29.26829268,0.2077329,11.6965046,8.385249467,0.784104835,-0.332815899,-28.30978353,3
40,aridity,Humid,0-10cm,-0.164524217,-15.17027864,1.05,14.47404489,12.34113399,1.025155199,-0.159419128,-14.73610809,4
40,aridity,Humid,20-30cm,-0.36719957,-30.73286052,0.875,9.542013946,6.650843625,0.634372801,-0.360960861,-30.2993722,4
40,aridity,Humid,30+cm,-0.409121419,-33.57664234,0.7,6.046525707,4.058409128,0.397628593,-0.398692788,-32.88031303,4
