ref,authors,lon_extract,lat_extract,et0_values,precip_values,standard_aridity_index,inverted_aridity_index,climate_category,temp_values,elev_values
35,"Sajid, M.,Ahmad, S.,Jaskani, M. J.,Yasin, M.
",73.1,31.433330000000005,1920,362,0.18854166666666666,5.303867403314917,Arid,24.212499618530273,186
36,"St. Laurent, A.,Merwin, I. A.,Thies, J. E.
",-76.51,42.49,1028,890,0.8657587548638133,1.155056179775281,Humid,8.949999809265137,142
37,"Oliveira, M. T.,Merwin, I. A.
",-76.510467,42.456296,1042,885,0.84932821497120925,1.1774011299435028,Humid,9.104166984558105,118
38,"Neilsen, G.,Forge, T.Angers, D.,Neilsen, D.,Hogue, E.
",-119.63604000000002,49.566520000000004,1112,336,0.302158273381295,3.3095238095238093,Semi-Arid,9,379
39,"Bavougian, C. M.,Read, P. E.
",-97,41.18,1401,749,0.5346181299072091,1.870493991989319,Dry sub-humid,9.929166793823242,507
40,"Sanchez, J. E.,Edson, C. E.,Bird, G. W.,Whalon, M. E.,Willson, T. C.,Harwood, R. R.,Kizilkaya, K.,Nugent, J. E.,Klein, W.,Middleton, A.,Loudon, T. L.,Mutch, D. R., Scrimger, J.


",-85.67529000000002,44.88200500000001,993,785,0.7905337361530715,1.264968152866242,Humid,7.0333333015441895,226
41,"Pinamonti, F.",11.117292,45.97634800000001,946,796,0.8414376321353065,1.1884422110552764,Humid,11.195833206176758,431
42,"Treder Waldemar,Krzysztof Klamkowski,Augusty Mika,Augusty 
Wojcik,Pawel Wojcik",20.15274,51.96141600000001,866,528,0.6096997690531177,1.6401515151515151,Dry sub-humid,8.258333206176758,125
43,"Susaj, L.,Susaj, E.,Belegu, M.,Mustafa, S.,Dervishi, B.,Ferraj, B.
",19.503050000000002,42.288831,1206,1512,1.2537313432835822,0.7976190476190477,Humid,13.104166984558105,381
44,"Kumari, R.,Kundu, M.,Das, A.,Rakshit, R.,Sahay, S.,Sengupta, S.,Ahmad, M. F.
",87.03444000000002,22.951140000000002,1849,1253,0.6776636019469984,1.475658419792498,Humid,26.524999618530273,81
45,"Ferraj, Bardhosh,Teqja, Zydi,Susaj, Lush, Fasllia, Ndoc,Gjeta, Zef,Vata, Ndoc,Balliu, Astrit",19.490776000000004,40.45093800000001,1395,952,0.6824372759856631,1.4653361344537814,Humid,16.162500381469727,1
46,"Hussain, S.,Sharma, M. K.,War, A. R.,Hussain, B.
",74.86667000000001,34.15,1389,754,0.5428365730741541,1.8421750663129974,Dry sub-humid,13.779167175292969,1586
47,"Sumeet, Sharma,Sharma, D. P.",76.18333000000001,30.85,1822,788,0.43249176728869376,2.3121827411167515,Semi-Arid,23.412500381469727,266
48,"Brar, J. S.,Gill, K. S.,Arora, N. K.,Arora, N. K.,Tarundeep, Kaur

",75.807359,30.900890000000004,1851,669,0.36142625607779577,2.766816143497758,Semi-Arid,23.975000381469727,243
49,"Sharma, D. P.,Negi, P.Sharma, S.
Negi, P.
Sharma, S.",76.874744,31.847192000000003,1645,1736,1.0553191489361702,0.9475806451612904,Humid,19.299999237060547,1217
50,"Sharma, S.,Sharma, D. P.",30.85,30.85,1983,52,0.026222894604135148,38.13461538461539,Hyper Arid,19.71666717529297,7
51,"Das, Biswajit,Harekrishna,Ranjan, J K,Pragya,Ahmed, N,Attri, B L",79.656114,29.459177000000004,1454,1926,1.3246217331499313,0.754932502596054,Humid,13.820833206176758,2213
52,"Fredrikson, L.,Skinkis, P. A.,Peachey, E.",-123.18,44.77,1112,1178,1.0593525179856116,0.9439728353140917,Humid,11.3125,86
53,"Cline, J.,Neilsen, G.,Hogue, E.,Kuchta, S.,Neilsen, D.",-119.7719,49.74222000000001,1066,358,0.33583489681050654,2.977653631284916,Semi-Arid,8.274999618530273,456
54,"Cline, J.,Neilsen, G.,Hogue, E.,Kuchta, S.,Neilsen, D.",-119.6361,49.57139000000001,1115,334,0.29955156950672646,3.338323353293413,Semi-Arid,9.108333587646484,362
55,"Cline, J.,Neilsen, G.,Hogue, E.,Kuchta, S.,Neilsen, D.",-119.6367,49.566390000000006,1112,336,0.302158273381295,3.3095238095238093,Semi-Arid,9,379
56,"TerAvest, Dan,Smith, Jeffrey L.,Carpenter-Boggs, Lynne,Granatstein, David,Hoagland, Lori
,Reganold, John P.
",120.33543700000001,47.430305000000004,865,487,0.5630057803468208,1.7761806981519508,Dry sub-humid,-3.8375000953674316,1366
57,"Sharma, S.,Sharma, D. P.",76.967797,31.223912000000002,1629,1627,0.9987722529158993,1.0012292562999385,Humid,18.016666412353516,1463
58,"Singh, A. K.,Singh, S.,Appa Rao, V. V.,Bagle, B. G.,More, T. A.",73.46313800000001,22.6102,2272,948,0.41725352112676056,2.3966244725738397,Semi-Arid,26.91666603088379,87
